,type,version,originX,originY,left,top,width,height,fill,stroke,strokeWidth,strokeDashArray,strokeLineCap,strokeDashOffset,strokeLineJoin,strokeUniform,strokeMiterLimit,scaleX,scaleY,angle,flipX,flipY,opacity,shadow,visible,backgroundColor,fillRule,paintFirst,globalCompositeOperation,skewX,skewY,path
0,path,4.4.0,left,top,154.5,46.5,41.0,94.01,None,#000,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 155.997, 47.997], ['Q', 156, 48, 156.5, 48.5], ['Q', 157, 49, 159.5, 54.5], ['Q', 162, 60, 172.5, 82], ['Q', 183, 104, 187, 116], ['Q', 191, 128, 194, 133.5], ['Q', 197, 139, 197, 140.5], ['L', 197, 142.003]]"
1,path,4.4.0,left,top,229.5,187.5,23.01,78.01,None,#000,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 230.997, 188.997], ['Q', 231, 189, 236.5, 206.5], ['Q', 242, 224, 245, 234], ['Q', 248, 244, 249, 248], ['Q', 250, 252, 251, 256], ['Q', 252, 260, 252.5, 262], ['Q', 253, 264, 253.5, 265.5], ['L', 254.003, 267.003]]"
2,path,4.4.0,left,top,387.5,140.5,20.01,58.01,None,#000,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 409.003, 141.997], ['Q', 409, 142, 408, 144.5], ['Q', 407, 147, 406, 152.5], ['Q', 405, 158, 402, 165.5], ['Q', 399, 173, 396.5, 177.5], ['Q', 394, 182, 393.5, 185], ['Q', 393, 188, 392, 191], ['Q', 391, 194, 390, 197], ['L', 388.997, 200.003]]"
3,path,4.4.0,left,top,328.5,302.5,53.01,38.01,None,#000,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 383.003, 303.997], ['Q', 383, 304, 383, 304.5], ['Q', 383, 305, 379.5, 307.5], ['Q', 376, 310, 372.5, 313.5], ['Q', 369, 317, 365.5, 320], ['Q', 362, 323, 358, 326.5], ['Q', 354, 330, 348.5, 333.5], ['Q', 343, 337, 340, 338], ['Q', 337, 339, 333.5, 340.5], ['L', 329.997, 342.003]]"
4,path,4.4.0,left,top,248.5,329.5,6.0,33.01,None,#0F0,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 249.997, 330.997], ['Q', 250, 331, 250, 331.5], ['Q', 250, 332, 250.5, 336.5], ['Q', 251, 341, 252.5, 346], ['Q', 254, 351, 254.5, 354.5], ['Q', 255, 358, 255, 359], ['Q', 255, 360, 255.5, 361.5], ['Q', 256, 363, 256, 363.5], ['L', 256, 364.003]]"
5,path,4.4.0,left,top,519.5,365.5,40.01,16.01,None,#0F0,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 520.997, 383.003], ['Q', 521, 383, 522.5, 382.5], ['Q', 524, 382, 531, 379], ['Q', 538, 376, 544, 373.5], ['Q', 550, 371, 551.5, 371], ['Q', 553, 371, 554, 370.5], ['Q', 555, 370, 556.5, 369], ['Q', 558, 368, 559.5, 367.5], ['L', 561.003, 366.997]]"
6,path,4.4.0,left,top,570.5,373.5,36.01,37.01,None,#0F0,3,None,round,0,round,False,10,1,1,0,False,False,1,None,True,,nonzero,fill,source-over,0,0,"[['M', 608.003, 374.997], ['Q', 608, 375, 606.5, 377], ['Q', 605, 379, 602, 381.5], ['Q', 599, 384, 597.5, 386.5], ['Q', 596, 389, 593.5, 390.5], ['Q', 591, 392, 588.5, 395.5], ['Q', 586, 399, 583, 402], ['Q', 580, 405, 577.5, 406.5], ['Q', 575, 408, 574, 409.5], ['Q', 573, 411, 572.5, 411.5], ['L', 571.997, 412.003]]"
